"X","site","block","plot","position_x","position_y","species","sp","mother","micro_topography","light","sand","time","height","diameter","survival","flood"
51,"A1","A","High",240,80,"Parashorea malaanonan","Pmal","12HPmal1a",153.953333333333,26,47.406,0,NA,NA,1,NA
52,"A1","A","High",240,120,"Shorea waltonii","Swal","Swal1",156.453333333333,26,47.406,0,NA,NA,1,NA
53,"A1","A","High",240,160,"Shorea pauciflora","Spau","Spau1",163.453333333333,26,47.406,0,NA,NA,1,NA
54,"A1","A","High",240,200,"Shorea smithiana","Ssmi","Ssmi4a",168.453333333333,26,47.406,0,NA,NA,1,NA
55,"A1","A","High",240,240,"Shorea gibbosa","Sgib","Sgib1",167.453333333333,26,47.406,0,NA,NA,1,NA
56,"A1","A","High",240,280,"Shorea leprosula","Slep","8QSlep4m",154.453333333333,26,47.406,0,NA,NA,1,NA
57,"A1","A","High",280,0,"Shorea seminis","Ssem","Ssem1",152.453333333333,26,47.406,0,NA,NA,1,NA
58,"A1","A","High",280,40,"Shorea pauciflora","Spau","Spau1",154.453333333333,26,47.406,0,NA,NA,1,NA
59,"A1","A","High",280,80,"Shorea leprosula","Slep","12HSlep8a",159.453333333333,26,47.406,0,NA,NA,1,NA
60,"A1","A","High",280,120,"Shorea pauciflora","Spau","Spau1",160.453333333333,26,47.406,0,NA,NA,1,NA
61,"A1","A","High",280,160,"Shorea parvifolia","Spar","Spar1RDC",165.453333333333,26,47.406,0,NA,NA,1,NA
62,"A1","A","High",280,200,"Shorea beccariana","Sbec","Sbec1",168.453333333333,26,47.406,0,NA,NA,1,NA
63,"A1","A","High",280,240,"Shorea waltonii","Swal","Swal1",173.453333333333,26,47.406,0,NA,NA,1,NA
64,"A1","A","High",280,280,"Parashorea malaanonan","Pmal","9LPmal7m",170.453333333333,26,47.406,0,NA,NA,1,NA
65,"A1","A","Low",0,0,"Shorea seminis","Ssem","Ssem1",28.2533333333333,32,53.849,0,NA,NA,1,NA
66,"A1","A","Low",0,40,"Shorea falciferoides","Sfal","Sfal1",27.2533333333333,32,53.849,0,NA,NA,1,NA
67,"A1","A","Low",0,80,"Shorea falciferoides","Sfal","Sfal1",23.2533333333333,32,53.849,0,NA,NA,1,NA
68,"A1","A","Low",0,120,"Shorea beccariana","Sbec","Sbec1",21.6533333333333,32,53.849,0,NA,NA,1,NA
69,"A1","A","Low",0,160,"Shorea gibbosa","Sgib","Sgib1",21.8533333333333,32,53.849,0,NA,NA,1,NA
70,"A1","A","Low",0,200,"Shorea pauciflora","Spau","Spau1",23.3533333333333,32,53.849,0,NA,NA,1,NA
71,"A1","A","Low",0,240,"Shorea seminis","Ssem","Ssem1",21.5533333333333,32,53.849,0,NA,NA,1,NA
72,"A1","A","Low",0,280,"Parashorea tomentella","Ptom","PtomRDC2m",27.5533333333333,32,53.849,0,NA,NA,1,NA
73,"A1","A","Low",40,0,"Shorea smithiana","Ssmi","9HSsmi4m",27.1533333333333,32,53.849,0,NA,NA,1,NA
74,"A1","A","Low",40,40,"Shorea seminis","Ssem","Ssem1",27.6533333333333,32,53.849,0,NA,NA,1,NA
75,"A1","A","Low",40,80,"Shorea smithiana","Ssmi","Ssmi2m",23.0533333333333,32,53.849,0,NA,NA,1,NA
76,"A1","A","Low",40,120,"Shorea xanthophylla","Sxan","9KSxan2a",22.9533333333333,32,53.849,0,NA,NA,1,NA
77,"A1","A","Low",40,160,"Shorea falciferoides","Sfal","Sfal1",22.1533333333333,32,53.849,0,NA,NA,1,NA
78,"A1","A","Low",40,200,"Shorea gibbosa","Sgib","Sgib1",20.8533333333333,32,53.849,0,NA,NA,1,NA
79,"A1","A","Low",40,240,"Dryobalanops lanceolata","Dry","Dry1",19.3533333333333,32,53.849,0,NA,NA,1,NA
80,"A1","A","Low",40,280,"Shorea waltonii","Swal","Swal1",19.1533333333333,32,53.849,0,NA,NA,1,NA
81,"A1","A","Low",80,0,"Shorea waltonii","Swal","Swal1",25.1533333333333,32,53.849,0,NA,NA,1,NA
82,"A1","A","Low",80,40,"Shorea macroptera","Smac","Smac1",26.1533333333333,32,53.849,0,NA,NA,1,NA
83,"A1","A","Low",80,80,"Parashorea malaanonan","Pmal","8LPmal9m",24.4533333333333,32,53.849,0,NA,NA,1,NA
84,"A1","A","Low",80,120,"Shorea mecistopteryx","Smec","Smec1",24.8533333333333,32,53.849,0,NA,NA,1,NA
85,"A1","A","Low",80,160,"Shorea beccariana","Sbec","Sbec1",22.2533333333333,32,53.849,0,NA,NA,1,NA
86,"A1","A","Low",80,200,"Shorea macroptera","Smac","Smac1",23.3533333333333,32,53.849,0,NA,NA,1,NA
87,"A1","A","Low",80,240,"Shorea xanthophylla","Sxan","Sxan3RDCm",20.8533333333333,32,53.849,0,NA,NA,1,NA
88,"A1","A","Low",80,280,"Shorea falciferoides","Sfal","Sfal1",21.1533333333333,32,53.849,0,NA,NA,1,NA
89,"A1","A","Low",120,0,"Shorea pauciflora","Spau","Spau1",23.6533333333333,32,53.849,0,NA,NA,1,NA
90,"A1","A","Low",120,40,"Shorea smithiana","Ssmi","Ssmi3a",22.5533333333333,32,53.849,0,NA,NA,1,NA
91,"A1","A","Low",120,80,"Shorea xanthophylla","Sxan","Sxan2OUa",23.8533333333333,32,53.849,0,NA,NA,1,NA
92,"A1","A","Low",120,120,"Shorea pauciflora","Spau","Spau1",24.5533333333333,32,53.849,0,NA,NA,1,NA
93,"A1","A","Low",120,160,"Shorea parvifolia","Spar","9QSpar10",34.7533333333333,32,53.849,0,NA,NA,1,NA
94,"A1","A","Low",120,200,"Shorea leprosula","Slep","8PSlep2a",24.3533333333333,32,53.849,0,NA,NA,1,NA
95,"A1","A","Low",120,240,"Shorea xanthophylla","Sxan","8MSxan3m",23.3533333333333,32,53.849,0,NA,NA,1,NA
96,"A1","A","Low",120,280,"Shorea mecistopteryx","Smec","Smec1",32.7533333333333,32,53.849,0,NA,NA,1,NA
97,"A1","A","Low",160,0,"Shorea acuminatissima","Sacu","8MSacu2",22.5533333333333,32,53.849,0,NA,NA,1,NA
98,"A1","A","Low",160,40,"Parashorea tomentella","Ptom","PtomRDC4a",23.8533333333333,32,53.849,0,NA,NA,1,NA
99,"A1","A","Low",160,80,"Parashorea tomentella","Ptom","Allptom4a",23.1533333333333,32,53.849,0,NA,NA,1,NA
100,"A1","A","Low",160,120,"Shorea pauciflora","Spau","Spau1",24.3533333333333,32,53.849,0,NA,NA,1,NA
101,"A1","A","Low",160,160,"Parashorea malaanonan","Pmal","AllPmal1a",25.8533333333333,32,53.849,0,NA,NA,1,NA
102,"A1","A","Low",160,200,"Shorea parvifolia","Spar","9PSpar2",27.3533333333333,32,53.849,0,NA,NA,1,NA
103,"A1","A","Low",160,240,"Shorea parvifolia","Spar","9PSpar2",22.1533333333333,32,53.849,0,NA,NA,1,NA
104,"A1","A","Low",160,280,"Shorea acuminatissima","Sacu","8MSacu2",19.9533333333333,32,53.849,0,NA,NA,1,NA
105,"A1","A","Low",200,0,"Shorea beccariana","Sbec","Sbec1",23.0533333333333,32,53.849,0,NA,NA,1,NA
106,"A1","A","Low",200,40,"Shorea leprosula","Slep","8PSlep4m",28.9533333333333,32,53.849,0,NA,NA,1,NA
107,"A1","A","Low",200,80,"Dryobalanops lanceolata","Dry","Dry1",22.9533333333333,32,53.849,0,NA,NA,1,NA
108,"A1","A","Low",200,120,"Shorea mecistopteryx","Smec","Smec1",23.8533333333333,32,53.849,0,NA,NA,1,NA
109,"A1","A","Low",200,160,"Shorea acuminatissima","Sacu","9OSacu3",27.8533333333333,32,53.849,0,NA,NA,1,NA
110,"A1","A","Low",200,200,"Shorea acuminatissima","Sacu","9OSacu3",25.7533333333333,32,53.849,0,NA,NA,1,NA
111,"A1","A","Low",200,240,"Shorea leprosula","Slep","12HSlep8a",25.8533333333333,32,53.849,0,NA,NA,1,NA
112,"A1","A","Low",200,280,"Shorea waltonii","Swal","Swal1",24.6533333333333,32,53.849,0,NA,NA,1,NA
113,"A1","A","Low",240,0,"Shorea parvifolia","Spar","Spar1RDC",23.0533333333333,32,53.849,0,NA,NA,1,NA
114,"A1","A","Low",240,40,"Shorea macroptera","Smac","Smac1",23.6533333333333,32,53.849,0,NA,NA,1,NA
115,"A1","A","Low",240,80,"Shorea beccariana","Sbec","Sbec1",21.8533333333333,32,53.849,0,NA,NA,1,NA
116,"A1","A","Low",240,120,"Dryobalanops lanceolata","Dry","Dry1",22.9533333333333,32,53.849,0,NA,NA,1,NA
117,"A1","A","Low",240,160,"Parashorea malaanonan","Pmal","9PmalRDC1m",23.8533333333333,32,53.849,0,NA,NA,1,NA
118,"A1","A","Low",240,200,"Shorea smithiana","Ssmi","Ssmi5a",25.2533333333333,32,53.849,0,NA,NA,1,NA
119,"A1","A","Low",240,240,"Shorea waltonii","Swal","Swal1",22.7533333333333,32,53.849,0,NA,NA,1,NA
120,"A1","A","Low",240,280,"Parashorea malaanonan","Pmal","9LPmal9a",22.3533333333333,32,53.849,0,NA,NA,1,NA
121,"A1","A","Low",280,0,"Shorea gibbosa","Sgib","Sgib1",21.1533333333333,32,53.849,0,NA,NA,1,NA
122,"A1","A","Low",280,40,"Parashorea tomentella","Ptom","9IPtom5m",22.3533333333333,32,53.849,0,NA,NA,1,NA
123,"A1","A","Low",280,80,"Shorea gibbosa","Sgib","Sgib1",19.9533333333333,32,53.849,0,NA,NA,1,NA
124,"A1","A","Low",280,120,"Shorea macroptera","Smac","Smac1",21.6533333333333,32,53.849,0,NA,NA,1,NA
125,"A1","A","Low",280,160,"Dryobalanops lanceolata","Dry","Dry1",22.9533333333333,32,53.849,0,NA,NA,1,NA
126,"A1","A","Low",280,200,"Shorea mecistopteryx","Smec","Smec1",21.4533333333333,32,53.849,0,NA,NA,1,NA
