"","ID","longitude","latitude","species","sp","mlim","DBH","life_strategy","elevation","species_wood_density"
"45","12JDacu13",604777.0034,647247.6976,"Dipterocarpus acutangulus","Dacu",40,70.4,"Subcanopy",77.14101,0.635
"46","12JDacu14",604614.8993,647081.5896,"Dipterocarpus acutangulus","Dacu",40,62.3,"Subcanopy",88.206,0.635
"47","12JDacu2",604690.5312,647092.7725,"Dipterocarpus acutangulus","Dacu",40,92,"Subcanopy",76.76801,0.635
"48","12JDacu3",604699.7803,647083.5751,"Dipterocarpus acutangulus","Dacu",40,99,"Subcanopy",79.575,0.635
"49","12JDacu4",604723.7205,647107.5693,"Dipterocarpus acutangulus","Dacu",40,69,"Subcanopy",77.744,0.635
"50","12JDacu5",604782.7719,647109.5114,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",86.14001,0.635
"51","12JDacu6",604786.3655,647164.7958,"Dipterocarpus acutangulus","Dacu",40,140,"Subcanopy",91.36,0.635
"52","12JDacu7",604791.8484,647196.1295,"Dipterocarpus acutangulus","Dacu",40,95,"Subcanopy",87.971,0.635
"53","12JDacu8",604773.3211,647238.4784,"Dipterocarpus acutangulus","Dacu",40,80,"Subcanopy",78.86,0.635
"54","12JDacu9",604762.2342,647247.6728,"Dipterocarpus acutangulus","Dacu",40,105,"Subcanopy",71.315,0.635
"55","12KDacu1",604980.0114,647225.9287,"Dipterocarpus acutangulus","Dacu",40,120,"Subcanopy",84.14101,0.635
"56","12KDacu10",604924.7076,647194.511,"Dipterocarpus acutangulus","Dacu",40,63,"Subcanopy",99.297,0.635
"57","12KDacu11",604930.2774,647174.2516,"Dipterocarpus acutangulus","Dacu",40,120.5,"Subcanopy",91.80601,0.635
"58","12KDacu12",604926.5907,647174.2453,"Dipterocarpus acutangulus","Dacu",40,75,"Subcanopy",89.995,0.635
"59","12KDacu13",604976.4459,647154.0608,"Dipterocarpus acutangulus","Dacu",40,110.8,"Subcanopy",84.735,0.635
"60","12KDacu14",604972.8041,647120.8876,"Dipterocarpus acutangulus","Dacu",40,90.7,"Subcanopy",73.106,0.635
"61","12KDacu15",604978.3491,647115.3691,"Dipterocarpus acutangulus","Dacu",40,58,"Subcanopy",69.46101,0.635
"62","12KDacu16",604965.443,647113.5046,"Dipterocarpus acutangulus","Dacu",40,110,"Subcanopy",77.82201,0.635
"63","12KDacu17",604908.2467,647107.8803,"Dipterocarpus acutangulus","Dacu",40,125,"Subcanopy",106.441,0.635
