"species","sp","wood_density","sd","n"
"Dryobalanops lanceolata","Dry",0.49,0.187,8
"Parashorea malaanonan","Pmal",0.49,0.064,8
"Parashorea tomentella","Ptom",0.52,0.059,10
"Shorea beccariana","Sbec",0.42,0.018,8
"Shorea johorensis","Sjoh",0.39,0.039,9
"Shorea leprosula","Slep",0.4,0.052,9
"Shorea parvifolia","Spar",0.39,0.076,9
"Shorea seminis","Ssem",0.5,0.058,9
"Shorea smithiana","Ssmi",0.37,0.047,8
"Shorea xanthophylla","Sxan",0.57,0.053,10
