species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Shorea leprosula,Slep,8Q_Slep_4,A,83,12,4.22,0.428941525
Shorea leprosula,Slep,SL_m_6,A,84,3,4.53,0.485266893
Dryobalanops lanceolata,Dry,DL_m_7,A,85,18,4.36,0.653063557
Parashorea tomentella,Ptom,Pt_m_1,A,86,21,4.39,
Shorea seminis,Ssem,Ssem_ou,A,87,9,4.3,
Shorea xanthophylla,Sxan,Sxan_3_RDC,A,88,15,1.95,
Parashorea tomentella,Ptom,Ptom_m_3,A,89,3,4.3,0.56871986
Parashorea tomentella,Ptom,Ptom_3,A,90,3,3.49,
Shorea xanthophylla,Sxan,8m_Sxan_3,A,91,15,4.34,
Shorea xanthophylla,Sxan,8n_Sxan,A,92,21,2.85,
Shorea seminis,Ssem,SS,A,93,15,3.28,
Shorea parvifolia,Spar,9Q_Spar_10,A,94,18,4.34,
Parashorea malaanonan,Pmal,Pmal_m_2,A,95,12,3.21,
Parashorea tomentella,Ptom,9J_Ptom_14,A,96,18,3.14,0.675314036
Shorea xanthophylla,Sxan,Sxan_3_RDC,A,97,0,2.71,0.53628447
Shorea beccariana,Sbec,Sbec_Sfr,A,98,21,4.65,
Shorea parvifolia,Spar,Sp_m_4,A,99,6,3.68,0.501888904
Shorea xanthophylla,Sxan,8L_Sxan_10,A,100,12,3.26,
Shorea seminis,Ssem,SS,A,101,0,2.7,0.464306111
Parashorea malaanonan,Pmal,8L_Pmal_9,A,102,6,3.41,
Dryobalanops lanceolata,Dry,DL_m_7,A,103,15,4.74,0.689042129
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,104,3,5.65,0.48642841
Shorea seminis,Ssem,SS,A,105,6,3.23,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,106,6,4.9,0.579021739
Parashorea malaanonan,Pmal,12H_Pmal_1,A,107,9,4.03,0.520746047
Shorea beccariana,Sbec,Sbec_Sfr,A,108,15,4.63,0.504708547
Parashorea tomentella,Ptom,Pt_m_1,A,109,15,4.17,
Dryobalanops lanceolata,Dry,DL_m_3,A,110,9,5.06,0.642885665
Shorea parvifolia,Spar,SP_m_7,A,111,12,3.19,0.553100061
Shorea parvifolia,Spar,Sp_m_3,A,112,3,3.91,0.553653217
Shorea leprosula,Slep,SL_maliau,A,113,15,3.3,0.554057196
Shorea leprosula,Slep,8P_Slep_4,A,114,12,6.58,0.457130547
Shorea smithiana,Ssmi,Ssmi_4,A,115,0,6.46,0.428798951
Parashorea tomentella,Ptom,8L_Ptom_6,A,116,12,4.03,
Shorea johorensis,Sjoh,SJoh_m,A,117,6,3.86,0.649104784
Shorea smithiana,Ssmi,Ssmi_Tawau,A,118,15,5.81,0.46683365
Parashorea tomentella,Ptom,8Pt_m_6,A,119,18,4.34,
Dryobalanops lanceolata,Dry,DL_Tawau,A,120,3,4.4,0.481627297
Parashorea tomentella,Ptom,Pt_m_2,A,121,0,4.56,0.481627297
Shorea xanthophylla,Sxan,Sxan_3_RDC,A,122,9,2.45,
Parashorea malaanonan,Pmal,12H_Pmal_1,A,123,3,2.99,0.515695067
Shorea smithiana,Ssmi,Ssmi_Tawau,A,124,3,5.11,0.520268866
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,A,125,6,5.48,0.445116364
Shorea johorensis,Sjoh,8m_SJoh_7,A,126,21,3.08,
Shorea johorensis,Sjoh,ou_SJoh_23A,A,127,15,4.07,
Shorea smithiana,Ssmi,Ssmi_5,A,128,12,4.9,0.428655747
Shorea smithiana,Ssmi,Ssmi_Tawau,A,129,6,4.8,0.547389085
Shorea johorensis,Sjoh,S.Joh_m_7,A,130,3,4.62,0.584997092
Shorea smithiana,Ssmi,Ssmi_Tawau,A,131,0,3.98,0.384774422
Shorea parvifolia,Spar,9Q_Spar_10,A,132,18,3.77,0.384774422
Shorea xanthophylla,Sxan,9K_Sxan_2,A,133,21,2.94,
Dryobalanops lanceolata,Dry,DL_m_1,A,134,21,5.65,0.58955603
Parashorea tomentella,Ptom,8Pt_m_6,A,135,12,3.38,
Parashorea malaanonan,Pmal,Pm_m_6,A,136,18,3.71,
Shorea seminis,Ssem,SS,A,137,12,3.66,
Shorea parvifolia,Spar,9P_Spar_2,A,138,21,3.23,
Shorea seminis,Ssem,Ssem_ou,A,139,21,4.34,
Shorea leprosula,Slep,12H_Slep_8,A,140,21,4.35,
Shorea xanthophylla,Sxan,11H_Sxan_1,A,141,9,4.53,0.605469739
Shorea seminis,Ssem,SS,A,142,18,3.02,
Parashorea tomentella,Ptom,9J_Ptom_14,A,143,21,2.62,
Parashorea malaanonan,Pmal,All_Pmal_1,A,144,0,4.8,0.574534603
Shorea smithiana,Ssmi,9H_Ssmi_4,A,145,18,6.25,0.521642455
Shorea xanthophylla,Sxan,Sxan_1,A,146,6,4.35,0.617808498
Shorea parvifolia,Spar,Sp_m_4,A,147,3,3.25,0.517811367
Dryobalanops lanceolata,Dry,DL_Tawau,A,148,9,5.39,0.58895628
Shorea xanthophylla,Sxan,9K_Sxan_2,A,149,3,4.17,
Parashorea malaanonan,Pmal,Pm_m_5,A,150,21,3.88,
Shorea smithiana,Ssmi,Ssmi_Tawau,A,151,9,5.83,0.495379284
Shorea parvifolia,Spar,9P_Spar_2,A,152,9,2.79,0.495379284
Shorea johorensis,Sjoh,SJoh_m,A,153,21,4.12,
Shorea smithiana,Ssmi,Ssmi_m_2,A,154,21,3.89,
Shorea xanthophylla,Sxan,8m_Sxan_3,A,155,6,4.29,
Parashorea malaanonan,Pmal,All_Pmal_1,A,156,9,3.97,0.535582499
Shorea beccariana,Sbec,Sbec_Sfr,A,157,3,3.57,0.549328969
Shorea leprosula,Slep,SL_maliau,A,158,15,4.24,0.475380914
Parashorea malaanonan,Pmal,Pm_m_4,A,159,3,3.8,0.533392304
Shorea parvifolia,Spar,Sp_m_1,A,160,6,5.06,0.461110062
Shorea smithiana,Ssmi,Ssmi_19,B,1,12,6.9,0.451061321
Shorea parvifolia,Spar,Spar_1,B,2,15,4.04,
Parashorea malaanonan,Pmal,Pm_m_6,B,3,6,4.48,0.525975525
Shorea beccariana,Sbec,Sbec_Sfr,B,4,3,4.37,0.532864949
Shorea parvifolia,Spar,Sp_m_1,B,5,3,4.92,0.395982389
Parashorea tomentella,Ptom,Pt_m_1,B,6,9,3.68,0.464491917
Parashorea malaanonan,Pmal,9L_Pmal_7,B,7,0,3.57,0.60820439
Shorea smithiana,Ssmi,Ssmi_4,B,8,3,4.23,0.474310239
Shorea johorensis,Sjoh,8L_SJoh_50,B,9,3,4.46,0.449819082
Shorea parvifolia,Spar,9P_Spar_2,B,10,3,3.07,0.468174645
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,11,0,5.08,0.329977557
Shorea xanthophylla,Sxan,8L_Sxan_10,B,12,3,3.64,0.575630692
Shorea johorensis,Sjoh,SJoh_m,B,13,0,3.27,0.400944882
Parashorea malaanonan,Pmal,Pm_m_3,B,14,0,3.5,0.517709646
Shorea xanthophylla,Sxan,ou_sxan_2,B,15,21,3.17,
Parashorea tomentella,Ptom,9J_Ptom_14,B,16,12,3.33,0.75941212
Parashorea tomentella,Ptom,Ptom_m_3,B,17,21,4.25,0.6071738
Parashorea tomentella,Ptom,Ptom_m_3,B,18,15,3.94,
Shorea johorensis,Sjoh,ou_SJoh_23A,B,19,18,4.04,
Shorea parvifolia,Spar,Sp_m_1,B,20,12,3.99,0.445582586
Shorea smithiana,Ssmi,Ssmi_Tawau,B,21,0,3.93,0.445582586
Shorea seminis,Ssem,Ssem_ou,B,22,6,3.18,0.674378992
Shorea smithiana,Ssmi,Ssmi_3A,B,23,15,4.39,0.464821825
Shorea xanthophylla,Sxan,8m_Sxan_3,B,24,9,3.87,
Parashorea malaanonan,Pmal,12H_Pmal_1,B,25,9,3.62,0.609672888
Shorea xanthophylla,Sxan,8m_Sxan_3,B,26,6,3.44,
Dryobalanops lanceolata,Dry,DL_m_3,B,27,0,4.24,0.508404959
Shorea xanthophylla,Sxan,Sxan_1,B,28,18,3.61,
Shorea seminis,Ssem,SS,B,29,12,3.4,
Parashorea malaanonan,Pmal,Pm_m_3,B,30,9,3.17,0.510318293
Shorea seminis,Ssem,SS,B,31,0,3.3,0.535703149
Shorea beccariana,Sbec,Sbec_Sfr,B,32,21,3.84,
Parashorea malaanonan,Pmal,9L_Pmal_7,B,33,15,4.74,
Shorea leprosula,Slep,8Q_Slep_4,B,34,18,4.76,0.470366418
Shorea xanthophylla,Sxan,11H_Sxan_7,B,35,12,5.36,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,36,9,5.05,0.536654135
Dryobalanops lanceolata,Dry,DL_m_7,B,37,6,5.12,0.583048118
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,38,3,3.82,0.504198062
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,39,15,5.88,0.434303607
Dryobalanops lanceolata,Dry,DL_m_3,B,40,3,4.75,0.606891466
Shorea smithiana,Ssmi,Ssmi_m_2,B,41,21,4.27,0.606891466
Shorea leprosula,Slep,8Q_Slep_4,B,42,18,5.11,0.408508389
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,B,43,18,4.6,0.588405001
Parashorea tomentella,Ptom,Ptom_3_rdc,B,44,0,4.31,0.588405001
