species,sp,mother,block,position,treatment,initial_diameter,final_wood_density
Shorea leprosula,Slep,9P_Slep_2,C,45,0,3.31,0.442630469
Shorea johorensis,Sjoh,8m_SJoh_9,C,46,9,3.89,
Dryobalanops lanceolata,Dry,DL_m_6,C,47,0,2.23,0.415124555
Shorea smithiana,Ssmi,Ssmi_Tawau,C,48,12,5.58,0.370434671
Parashorea tomentella,Ptom,Ptom_2_RDC,C,49,18,4.34,
Dryobalanops lanceolata,Dry,DL_m_1,C,50,9,4.76,
Shorea leprosula,Slep,SL_m_6,C,51,12,3.17,0.493996902
Shorea parvifolia,Spar,Sp_m_3,C,52,15,3.86,0.479079821
Parashorea tomentella,Ptom,Ptom_3,C,53,6,3.61,
Dryobalanops lanceolata,Dry,DL_Tawau,C,54,15,3.69,0.430455943
Parashorea malaanonan,Pmal,9L_Pmal_7,C,55,12,3.98,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,56,18,4.77,0.505873926
Shorea seminis,Ssem,SS,C,57,15,2.19,0.574545455
Parashorea malaanonan,Pmal,Pmal_m_1,C,58,18,3.45,0.59133574
Dryobalanops lanceolata,Dry,DL_m_2,C,59,18,5.17,0.573491193
Shorea beccariana,Sbec,Sbec_Sfr,C,60,3,3.67,0.650274893
Shorea xanthophylla,Sxan,8n_Sxan,C,61,0,3.21,0.546061885
Shorea seminis,Ssem,SS,C,62,12,3.45,
Shorea seminis,Ssem,Ssem_ou,C,63,21,4.41,0.624527708
Parashorea tomentella,Ptom,All_Ptom_4,C,64,3,3.59,
Shorea seminis,Ssem,SS,C,65,18,1.84,
Shorea smithiana,Ssmi,9H_Ssmi_4,C,66,18,5.32,0.460447707
Parashorea malaanonan,Pmal,8L_Pmal_9,C,67,9,3.42,0.574480045
Parashorea tomentella,Ptom,8L_Ptom_6,C,68,3,2.08,0.62991128
Shorea johorensis,Sjoh,SJ_m_1,C,69,0,3.55,0.517206911
Shorea smithiana,Ssmi,Ssmi_4,C,70,0,6.29,0.414885875
Parashorea tomentella,Ptom,Pt_m_4,C,71,0,4.47,0.414885875
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,72,0,4.41,0.269466961
Shorea johorensis,Sjoh,8K_SJoh_8,C,73,6,3.49,0.643309499
Parashorea malaanonan,Pmal,12H_Pmal_1,C,74,21,3.12,
Shorea beccariana,Sbec,Sbec_Sfr,C,75,9,3.27,0.564118762
Shorea seminis,Ssem,SS,C,76,21,3.69,
Shorea leprosula,Slep,Slep_m_2,C,77,9,3.38,0.479206377
Shorea parvifolia,Spar,9P_Spar_2,C,78,3,3.33,0.396393134
Shorea leprosula,Slep,Slep_1,C,79,12,3.92,0.390973694
Shorea leprosula,Slep,8Pslep_2,C,80,6,5.44,0.405068959
Shorea johorensis,Sjoh,SJ_m_1,C,81,18,3.73,
Shorea parvifolia,Spar,Sp_m_4,C,82,21,2.87,
Parashorea malaanonan,Pmal,Pmal_Tawau,C,83,15,4.68,0.519404631
Shorea xanthophylla,Sxan,8m_Sxan_3,C,84,9,4.68,0.692861428
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,85,18,4.33,0.513799283
Shorea xanthophylla,Sxan,Sxan_1,C,86,21,4.58,
Parashorea malaanonan,Pmal,All_Pmal_1,C,87,12,4.18,
Dryobalanops lanceolata,Dry,DL_Tawau,C,88,21,4.2,0.494498519
Parashorea malaanonan,Pmal,Pmal_1_RDC,C,89,3,4.4,0.59891617
Shorea xanthophylla,Sxan,9K_Sxan_2,C,90,21,3.37,
Shorea parvifolia,Spar,9P_Spar_2,C,91,18,3.71,
Parashorea malaanonan,Pmal,Pm_m_5,C,92,15,4.53,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,93,21,4.63,
Parashorea tomentella,Ptom,Ptom_m_3,C,94,15,4.6,0.561358811
Shorea xanthophylla,Sxan,8n_Sxan,C,95,6,3.22,
Dryobalanops lanceolata,Dry,DL_m_1,C,96,6,6.24,0.483148103
Shorea parvifolia,Spar,9Q_Spar_10,C,97,0,3.26,0.390082123
Shorea seminis,Ssem,SS,C,98,0,3.76,0.553502453
Shorea beccariana,Sbec,Sbec_Sfr,C,99,6,4.18,
Shorea xanthophylla,Sxan,Sxan_1,C,100,0,3.89,0.466497915
Shorea seminis,Ssem,SS,C,101,6,3.3,0.701920099
Shorea xanthophylla,Sxan,8m_Sxan_3,C,102,12,3.8,
Shorea seminis,Ssem,SS,C,103,12,3.84,0.674607197
Parashorea malaanonan,Pmal,9L_Pmal_9,C,104,6,3.34,0.566906881
Shorea johorensis,Sjoh,8m_SJoh_7,C,105,6,3.39,0.553511193
Shorea parvifolia,Spar,SP_m_7,C,106,15,3.37,0.553511193
Shorea leprosula,Slep,SL_m_6,C,107,3,3.97,0.43238422
Shorea johorensis,Sjoh,8L_SJoh_50,C,108,9,4.03,0.510309278
Shorea beccariana,Sbec,Sbec_Sfr,C,109,15,4.44,
Shorea seminis,Ssem,SS,C,110,9,2.29,0.812603101
Parashorea malaanonan,Pmal,Pmal_m_2,C,111,18,3.66,0.62192536
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,112,6,5.87,0.450071633
Parashorea tomentella,Ptom,Ptom_3,C,113,9,4.47,0.562451812
Shorea leprosula,Slep,Slep_1,C,114,18,2.68,0.491543624
Shorea parvifolia,Spar,SP_m_7,C,115,6,2.97,0.5546875
Dryobalanops lanceolata,Dry,DL_m_1,C,116,12,5.49,0.577915754
Shorea smithiana,Ssmi,Ssmi_4,C,117,3,5.87,0.428181973
Shorea smithiana,Ssmi,Ssmi_m_2,C,118,9,3.42,0.428181973
Shorea parvifolia,Spar,Sp_m_4,C,119,3,3.43,0.55509206
Dryobalanops lanceolata,Dry,Dl_m_4,C,120,3,5.93,0.433096108
Parashorea tomentella,Ptom,Ptom_m_3,C,121,12,3.78,
Shorea xanthophylla,Sxan,9K_Sxan_29,C,122,15,2.44,
Shorea johorensis,Sjoh,ou_SJoh_23A,C,123,21,3.09,
Dryobalanops lanceolata,Dry,DL_m_3,C,124,9,4.5,0.584784411
Parashorea malaanonan,Pmal,Pm_m_5,C,125,0,4.46,0.598519991
Parashorea tomentella,Ptom,All_Ptom_4,C,126,9,5.94,0.678948819
Shorea smithiana,Ssmi,Ssmi_Tawau,C,127,15,4.36,0.678948819
Shorea seminis,Ssem,Ssem_ou,C,128,6,4.01,0.679751455
Shorea parvifolia,Spar,Sp_m_1,C,129,21,5.35,0.514149063
Shorea xanthophylla,Sxan,Sxan_3_RDC,C,130,9,2.92,
Shorea johorensis,Sjoh,SJ_m_6,C,131,18,3.04,0.45240928
Shorea parvifolia,Spar,Spar_1,C,132,12,3.54,0.45240928
Parashorea malaanonan,Pmal,9L_Pmal_7,C,133,0,3.33,0.559197408
Shorea parvifolia,Spar,SP_m_5,C,134,6,3.55,0.544928266
Parashorea tomentella,Ptom,Ptom_1_RDC,C,135,0,3.36,0.544928266
Shorea seminis,Ssem,Ssem_ou,C,136,3,3.71,0.676610392
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,137,12,4.46,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,C,138,3,4.8,0.461846029
Shorea xanthophylla,Sxan,8m_Sxan_3,C,139,18,6.37,
Parashorea tomentella,Ptom,Pt_m_1,C,140,18,4.05,0.541651309
Shorea johorensis,Sjoh,8m_SJoh_6,C,141,21,3.67,0.435005834
Shorea seminis,Ssem,SS,C,142,15,2.95,0.641032127
Shorea xanthophylla,Sxan,9K_Sxan_29,C,143,3,3.1,
Shorea smithiana,Ssmi,Ssmi_4,C,144,21,5.33,
Parashorea malaanonan,Pmal,12H_Pmal_1,C,145,21,2.6,
Shorea johorensis,Sjoh,8m_SJoh_7,C,146,12,3.61,
Shorea leprosula,Slep,8Q_Slep_4,C,147,21,5.39,0.472338838
Shorea smithiana,Ssmi,Ssmi_19,C,148,18,6.78,0.39935256
Shorea johorensis,Sjoh,ou_SJoh_23A,C,149,15,3.43,0.502304147
Parashorea malaanonan,Pmal,8_m_Pmal_8,C,150,3,4.22,0.476826819
Shorea johorensis,Sjoh,8L_SJoh_50,C,151,3,3.68,0.574567901
Shorea xanthophylla,Sxan,11H_Sxan_1,C,152,18,3.33,
Parashorea malaanonan,Pmal,Pm_m_3,C,153,9,2.66,0.660180995
Shorea xanthophylla,Sxan,8L_Sxan_10,C,154,3,3.22,0.578078078
Shorea leprosula,Slep,SL_m_1,C,155,15,3.52,0.450623202
Shorea smithiana,Ssmi,Ssmi_19,C,156,6,5.48,0.450623202
Dryobalanops lanceolata,Dry,DL_m_2,C,157,21,7.14,0.561144439
Shorea leprosula,Slep,12I_Slep_3,C,158,9,5,0.341327489
Shorea seminis,Ssem,Ssem_ou,C,159,9,2.75,0.547119466
Shorea leprosula,Slep,SL_m_72,C,160,0,4.59,0.465213562
Shorea parvifolia,Spar,Sp_m_1,D,1,3,4.59,0.357794118
Shorea johorensis,Sjoh,8L_SJoh_50,D,2,3,3.35,0.432883047
Shorea leprosula,Slep,Slep_m_2,D,3,18,4.53,0.442488597
Parashorea tomentella,Ptom,All_Ptom_4,D,4,12,3.74,
Shorea parvifolia,Spar,9P_Spar_2,D,5,18,2.85,0.580552122
Shorea johorensis,Sjoh,8L_SJoh_50,D,6,0,3.71,0.434138077
Shorea parvifolia,Spar,Sp_m_4,D,7,21,3.43,0.450413223
Dryobalanops lanceolata,Dry,DL_m_2,D,8,21,5.32,0.51262674
Parashorea malaanonan,Pmal,9L_Pmal_7,D,9,9,4.41,0.526987412
Shorea parvifolia,Spar,9Q_Spar_10,D,10,21,4.33,0.357794118
Shorea leprosula,Slep,Slep_1,D,11,6,3.59,0.439402985
Dryobalanops lanceolata,Dry,DL_Tawau,D,12,6,4.64,0.47438376
Parashorea malaanonan,Pmal,Pm_m_6,D,13,0,3.04,0.472800537
Shorea smithiana,Ssmi,Ssmi_Tawau,D,14,12,4.77,0.379547781
Shorea leprosula,Slep,SL_m_72,D,15,6,4.56,0.515801078
Shorea seminis,Ssem,SS,D,16,3,2.5,0.544352092
Parashorea tomentella,Ptom,Pt_m_1,D,17,3,4.09,0.475048053
Dryobalanops lanceolata,Dry,DL_m_6,D,18,3,3.34,0.440639269
Shorea seminis,Ssem,SS,D,19,6,3.73,0.561438785
Shorea xanthophylla,Sxan,8n_Sxan,D,20,18,3.42,
Shorea leprosula,Slep,SL_m_6,D,21,18,3.87,0.410217806
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,22,9,4.9,0.432151846
Shorea beccariana,Sbec,Sbec_Sfr,D,23,0,3.11,0.43407173
Dryobalanops lanceolata,Dry,DL_m_2,D,24,3,5.04,0.507440581
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,25,6,4.02,0.460704031
Shorea smithiana,Ssmi,Ssmi_Tawau,D,26,18,5.35,0.455883457
Shorea xanthophylla,Sxan,8m_Sxan_3,D,27,12,3.98,
Shorea smithiana,Ssmi,Ssmi_19,D,28,6,6.58,
Parashorea malaanonan,Pmal,Pm_m_5,D,29,18,3.72,
Parashorea tomentella,Ptom,Ptom_4,D,30,18,4.06,
Shorea xanthophylla,Sxan,8m_Sxan_3,D,31,12,3.17,
Shorea leprosula,Slep,8Q_Slep_4,D,32,0,5.42,0.351405884
Shorea leprosula,Slep,8Pslep_2,D,33,9,4.4,0.371785962
Shorea seminis,Ssem,SS,D,34,21,2.99,
Shorea leprosula,Slep,12I_Slep_3,D,35,9,4.65,0.340700273
Shorea xanthophylla,Sxan,Sxan_1,D,36,6,2.46,0.616839763
Parashorea tomentella,Ptom,All_Ptom_4,D,37,12,4.67,0.551391718
Shorea xanthophylla,Sxan,ou_sxan_2,D,38,15,3.45,
Shorea xanthophylla,Sxan,9K_Sxan_2,D,39,21,3.24,
Shorea seminis,Ssem,SS,D,40,6,2.17,0.615695793
Parashorea malaanonan,Pmal,Pmal_Tawau,D,41,6,4.41,0.611077704
Shorea parvifolia,Spar,SP_m_5,D,42,3,3.13,0.46920354
Dryobalanops lanceolata,Dry,DL_m_6,D,43,12,4.04,0.441451991
Shorea johorensis,Sjoh,ou_SJoh_23A,D,44,12,4.07,
Shorea leprosula,Slep,12H_Slep_8,D,45,12,4.61,0.419276641
Shorea leprosula,Slep,12I_Slep_3,D,46,21,4.05,0.41577381
Shorea johorensis,Sjoh,8m_SJoh_6,D,47,6,3.68,0.454687152
Shorea smithiana,Ssmi,Ssmi_m_2,D,48,0,2.9,0.369185719
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,49,3,2.85,0.580552122
Dryobalanops lanceolata,Dry,DL_Tawau,D,50,0,3.6,0.439898105
Shorea xanthophylla,Sxan,Sxan_1,D,51,3,4.06,
Parashorea tomentella,Ptom,Ptom_1_RDC,D,52,0,3.47,
Shorea seminis,Ssem,SS,D,53,0,2.6,0.49071329
Shorea smithiana,Ssmi,Ssmi_5,D,54,3,4.75,0.430739228
Shorea smithiana,Ssmi,Ssmi_m_2,D,55,0,3.67,0.393164601
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,56,3,5.41,0.384506484
Shorea seminis,Ssem,SS,D,57,15,2.74,0.730012453
Shorea parvifolia,Spar,Sp_m_3,D,58,12,3.58,0.460637177
Parashorea tomentella,Ptom,8L_Ptom_6,D,59,21,2.7,
Dryobalanops lanceolata,Dry,DL_Tawau,D,60,18,5.56,0.456341867
Shorea smithiana,Ssmi,Ssmi_5,D,61,21,3.78,0.496053243
Shorea smithiana,Ssmi,Ssmi_3A,D,62,21,3.63,0.466622604
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,63,18,5.83,0.38237613
Shorea beccariana,Sbec,Sbec_Sfr,D,64,0,4.24,0.402112962
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,65,12,3.86,0.456768249
Dryobalanops lanceolata,Dry,DL_m_7,D,66,6,5.32,0.5609404
Shorea parvifolia,Spar,9P_Spar_2,D,67,0,3.45,0.328156113
Shorea johorensis,Sjoh,8m_SJoh_7,D,68,15,4.85,0.497914759
Dryobalanops lanceolata,Dry,DL_m_1,D,69,18,6.17,0.450413223
Shorea parvifolia,Spar,Sp_m_4,D,70,6,3.02,0.479476628
Parashorea tomentella,Ptom,Pt_m_2,D,71,9,3.94,0.69729667
Shorea seminis,Ssem,SS,D,72,18,2,
Shorea parvifolia,Spar,Sp_m_3,D,73,15,3.46,
Shorea parvifolia,Spar,SP_m_7,D,74,15,3.4,0.544323484
Shorea parvifolia,Spar,SP_m_7,D,75,12,3.96,0.600505689
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,76,21,4.67,0.421231943
Parashorea malaanonan,Pmal,9L_Pmal_7,D,77,15,3.8,0.578969301
Shorea beccariana,Sbec,Sbec_Sfr,D,78,21,5.5,
Parashorea tomentella,Ptom,Ptom_4,D,79,6,3.18,0.574770506
Shorea johorensis,Sjoh,SJ_m_6,D,80,15,4.11,0.522865589
Shorea parvifolia,Spar,Spar_1,D,81,9,4.01,0.522865589
Shorea leprosula,Slep,SL_m_114,D,82,0,3.9,0.326783521
Shorea seminis,Ssem,Ssem_ou,D,83,18,3.52,
Shorea smithiana,Ssmi,Ssmi_5,D,84,9,4.59,0.40997554
Shorea seminis,Ssem,SS,D,85,12,1.95,0.789189189
Shorea parvifolia,Spar,SP_m_5,D,86,6,3.47,0.426108851
Parashorea tomentella,Ptom,Pt_m_5,D,87,21,3.2,0.546531721
Parashorea malaanonan,Pmal,9L_Pmal_9,D,88,6,4.23,0.537686932
Shorea xanthophylla,Sxan,8L_Sxan_10,D,89,6,3.45,
Shorea leprosula,Slep,SL_maliau,D,90,15,3.32,0.367874425
Shorea beccariana,Sbec,Sbec_Sfr,D,91,12,3.92,
Shorea leprosula,Slep,SL_m_6,D,92,15,4.05,0.40783848
Shorea xanthophylla,Sxan,11H_Sxan_1,D,93,3,5.28,0.656287521
Parashorea malaanonan,Pmal,Pmal_Tawau,D,94,18,4.56,
Shorea smithiana,Ssmi,9H_Ssmi_4,D,95,15,6.23,0.373644101
Parashorea tomentella,Ptom,Ptom_2_RDC,D,96,9,4.11,
Shorea johorensis,Sjoh,8K_SJoh_8,D,97,9,3.48,
Shorea johorensis,Sjoh,SJ_m_4,D,98,21,3.55,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,99,15,4.44,0.455111279
Shorea johorensis,Sjoh,8m_SJoh_6,D,100,12,3.1,
Shorea johorensis,Sjoh,SJoh_m,D,101,6,3.41,0.423873874
Dryobalanops lanceolata,Dry,DL_m_6,D,102,0,2.83,0.421240903
Parashorea malaanonan,Pmal,Pmal_1_RDC,D,103,0,3.65,0.48723177
Shorea xanthophylla,Sxan,8L_Sxan_10,D,104,9,3.79,
Shorea smithiana,Ssmi,Ssmi_m_2,D,105,3,4.36,0.41340603
Shorea johorensis,Sjoh,SJ_m_1,D,106,3,3.76,0.449277638
Shorea seminis,Ssem,Ssem_ou,D,107,21,5.38,0.599967116
Shorea xanthophylla,Sxan,ou_sxan_2,D,108,18,3.56,
Shorea johorensis,Sjoh,SJ_m_10,D,109,21,4.29,0.549371634
Parashorea tomentella,Ptom,Ptom_m_3,D,110,3,3.58,0.506169492
Shorea xanthophylla,Sxan,11H_Sxan_1,D,111,15,3.81,
Parashorea malaanonan,Pmal,Pm_m_3,D,112,15,3.54,
Parashorea malaanonan,Pmal,9L_Pmal_9,D,113,3,3.3,0.555476239
Shorea xanthophylla,Sxan,Sxan_1,D,114,0,3.97,0.573681349
Parashorea malaanonan,Pmal,8L_Pmal_9,D,115,21,4.44,
Parashorea malaanonan,Pmal,8_m_Pmal_8,D,116,12,4.02,0.597109304
Shorea xanthophylla,Sxan,8m_Sxan_3,D,117,9,3.39,
Shorea smithiana,Ssmi,Ssmi_3A,D,118,12,4.88,0.452171981
Shorea xanthophylla,Sxan,8m_Sxan_3,D,119,0,4.37,0.452919021
Shorea leprosula,Slep,SL_maliau,D,120,3,4.18,0.357335547
Parashorea malaanonan,Pmal,Pm_m_5,D,121,9,3.92,
Shorea seminis,Ssem,SS,D,122,9,1.98,0.76097561
Dryobalanops lanceolata,Dry,DL_m_7,D,123,9,5.03,0.681542658
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,124,15,5.97,0.591614717
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,125,9,5.19,
Shorea xanthophylla,Sxan,9K_Sxan_29,D,126,21,2.59,
Shorea seminis,Ssem,SS,D,127,3,3.09,0.730731323
Parashorea malaanonan,Pmal,All_Pmal_1,D,128,21,4.11,
Shorea beccariana,Sbec,Sbec_Sfr,D,129,6,2.87,
Shorea smithiana,Ssmi,Ssmi_Tawau,D,130,15,4.5,0.453553468
Shorea smithiana,Ssmi,9H_Ssmi_4,D,131,18,4.91,0.453553468
Parashorea tomentella,Ptom,9I_Ptom_5,D,132,18,3.67,
Shorea seminis,Ssem,SS,D,133,12,2.25,0.566487317
Parashorea tomentella,Ptom,Pt_m_4,D,134,15,5.24,
Parashorea malaanonan,Pmal,Pmal_1_RDC,D,135,12,4.14,
Dryobalanops lanceolata,Dry,DL_m_2,D,136,9,4.98,0.468971631
Shorea johorensis,Sjoh,ou_SJoh_23A,D,137,9,3.64,0.598793363
Dryobalanops lanceolata,Dry,Dl_m_4,D,138,15,5.69,0.541874916
Dryobalanops lanceolata,Dry,DL_m_1,D,139,12,5.65,0.520542947
Shorea johorensis,Sjoh,SJ_m_5,D,140,18,3.71,0.510787172
Parashorea tomentella,Ptom,Ptom_2_RDC,D,141,0,5,0.510787172
Shorea leprosula,Slep,9P_Slep_2,D,142,12,5.09,0.380246914
Shorea seminis,Ssem,Ssem_ou,D,143,9,2.55,
Dryobalanops lanceolata,Dry,DL_m_3,D,144,21,4.63,0.528279182
Shorea seminis,Ssem,Ssem_ou,D,145,15,3.51,0.673314719
Dryobalanops lanceolata,Dry,DL_Tawau,D,146,15,5.22,0.477426255
Parashorea tomentella,Ptom,9J_Ptom_14,D,147,15,4.17,0.636209404
Shorea johorensis,Sjoh,SJoh_m,D,148,0,3.9,0.374640523
Shorea leprosula,Slep,SL_m_108,D,149,3,3.77,0.312208949
Shorea smithiana,Ssmi,Ssmi_3A,D,150,6,4.82,0.44734315
Shorea parvifolia,Spar,Spar_1,D,151,9,4.28,0.433036494
Shorea smithiana,Ssmi,Ssmi_19,D,152,9,6.85,0.450064128
Parashorea tomentella,Ptom,Pt_m_4,D,153,6,3.95,0.514558925
Shorea johorensis,Sjoh,8m_SJoh_9,D,154,18,4.38,
Parashorea malaanonan,Pmal,Pmal_1_RDC,D,155,3,3.25,0.527362537
Shorea seminis,Ssem,SS,D,156,0,2.92,0.513213368
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,D,157,18,4.85,0.478633624
Shorea parvifolia,Spar,Sp_m_1,D,158,18,4.66,0.478633624
Shorea leprosula,Slep,SL_m_108,D,159,21,4.74,0.384921806
Shorea parvifolia,Spar,9Q_Spar_10,D,160,0,4.18,0.36234353
Shorea xanthophylla,Sxan,9K_Sxan_29,E,1,21,3.64,
Shorea xanthophylla,Sxan,Sxan_3_RDC,E,2,9,2.84,
Parashorea malaanonan,Pmal,Pmal_1_RDC,E,3,12,4.87,
Shorea johorensis,Sjoh,S.Joh_m_7,E,4,18,4.49,0.522319919
Shorea xanthophylla,Sxan,8L_Sxan_10,E,5,15,3.78,
Shorea johorensis,Sjoh,8L_SJoh_50,E,6,9,3.66,0.479620324
Shorea parvifolia,Spar,9Q_Spar_10,E,7,21,4.06,0.504690573
Shorea seminis,Ssem,SS,E,8,6,3.68,0.662689307
Dryobalanops lanceolata,Dry,DL_m_6,E,9,0,2.97,0.388201272
Shorea parvifolia,Spar,Sp_m_1,E,10,18,4.47,
Shorea johorensis,Sjoh,ou_SJoh,E,11,18,3.74,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,12,15,5.81,0.546087225
Shorea xanthophylla,Sxan,ou_sxan_2,E,13,6,2.65,0.601373626
Shorea seminis,Ssem,SS,E,14,9,3.98,0.607236842
Parashorea malaanonan,Pmal,Pmal_Tawau,E,15,0,4.23,0.49790954
Shorea parvifolia,Spar,SP_m_7,E,16,21,2.89,0.423174805
Parashorea tomentella,Ptom,All_Ptom_4,E,17,18,3,
Shorea smithiana,Ssmi,Ssmi_5,E,18,3,4.28,0.410357033
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,19,12,3.69,
Shorea seminis,Ssem,SS,E,20,6,3.31,0.560545428
Shorea leprosula,Slep,8P_Slep_4,E,21,6,4.73,0.416629613
Shorea beccariana,Sbec,Sbec_Sfr,E,22,6,3.96,0.575747724
Shorea johorensis,Sjoh,8L_SJoh_50,E,23,21,3.71,
Shorea johorensis,Sjoh,8m_SJoh_7,E,24,9,2.98,0.442030643
Shorea leprosula,Slep,SL_maliau,E,25,0,4.05,0.354206049
Shorea leprosula,Slep,SL_m_72,E,26,3,4.21,0.492402588
Parashorea malaanonan,Pmal,8L_Pmal_9,E,27,18,4.56,
Parashorea tomentella,Ptom,Ptom_1_RDC,E,28,0,2.63,
Shorea parvifolia,Spar,Spar_1,E,29,9,4.52,0.411822467
Shorea leprosula,Slep,SL_m_108,E,30,3,4.23,0.397002706
Shorea parvifolia,Spar,Sp_m_6,E,31,12,3.98,0.397002706
Shorea smithiana,Ssmi,Ssmi_Tawau,E,32,15,5.6,0.347726229
Parashorea tomentella,Ptom,Ptom_3,E,33,12,4.88,0.467535517
Dryobalanops lanceolata,Dry,Dl_m_4,E,34,21,5.8,0.544403682
Shorea seminis,Ssem,Ssem_ou,E,35,18,3.5,0.674381666
Shorea parvifolia,Spar,SP_m_7,E,36,0,2.08,0.487843137
Shorea beccariana,Sbec,Sbec_Sfr,E,37,9,3.24,
Dryobalanops lanceolata,Dry,Dl_m_4,E,38,6,4.89,0.520918332
Shorea smithiana,Ssmi,Ssmi_19,E,39,15,4.64,0.520918332
Dryobalanops lanceolata,Dry,DL_m_6,E,40,3,3.42,0.512209053
Parashorea malaanonan,Pmal,Pm_m_4,E,41,18,3.96,
Shorea beccariana,Sbec,Sbec_Sfr,E,42,3,4.14,0.615672248
Shorea johorensis,Sjoh,ou_SJoh_23A,E,43,3,3.71,0.419890393
Shorea seminis,Ssem,SS,E,44,18,2.56,
Shorea xanthophylla,Sxan,Sxan_1,E,45,0,4.58,0.538662581
Shorea parvifolia,Spar,Sp_m_6,E,46,12,4.19,0.538662581
Shorea leprosula,Slep,SL_maliau,E,47,12,4.28,0.339587521
Shorea xanthophylla,Sxan,9K_Sxan_29,E,48,18,3.01,
Shorea leprosula,Slep,SL_m_72,E,49,15,4.07,0.486738525
Shorea beccariana,Sbec,Sbec_Sfr,E,50,21,3.78,
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,51,18,2.84,0.496665608
Shorea leprosula,Slep,12I_Slep_3,E,52,12,5.26,
Shorea xanthophylla,Sxan,8L_Sxan_10,E,53,3,3.56,0.709586466
Shorea seminis,Ssem,SS,E,54,0,2.01,
Shorea seminis,Ssem,SS,E,55,15,3.37,
Shorea leprosula,Slep,12H_Slep_8,E,56,15,5.12,0.361004147
Shorea parvifolia,Spar,Sp_m_6,E,57,15,4.52,0.576722168
Shorea johorensis,Sjoh,8m_SJoh_7,E,58,12,4.01,0.439781022
Shorea parvifolia,Spar,Sp_m_1,E,59,15,4.06,0.439781022
Dryobalanops lanceolata,Dry,DL_m_1,E,60,18,5.17,0.458307692
Shorea seminis,Ssem,SS,E,61,3,3.28,0.659784946
Parashorea tomentella,Ptom,9I_Ptom_5,E,62,9,5.31,0.469522882
Dryobalanops lanceolata,Dry,DL_m_3,E,63,18,4.67,0.587284611
Parashorea tomentella,Ptom,Ptom_1_RDC,E,64,9,4.33,0.49470106
Shorea beccariana,Sbec,Sbec_Sfr,E,65,15,3.69,
Shorea xanthophylla,Sxan,8m_Sxan_3,E,66,12,3.47,
Dryobalanops lanceolata,Dry,DL_m_1,E,67,3,5.71,0.477742843
Shorea johorensis,Sjoh,8m_SJoh_9,E,68,21,4.48,
Dryobalanops lanceolata,Dry,DL_m_7,E,69,6,5.5,0.504690573
Shorea xanthophylla,Sxan,Sxan_1,E,70,12,4.68,
Shorea smithiana,Ssmi,Ssmi_4,E,71,21,5.25,
Shorea smithiana,Ssmi,Ssmi_m_2,E,72,3,4.19,0.423759748
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,73,18,5.1,0.462044468
Parashorea tomentella,Ptom,Ptom_4,E,74,6,5.02,0.44879244
Shorea johorensis,Sjoh,SJ_m_4,E,75,0,4.93,0.449612403
Dryobalanops lanceolata,Dry,DL_Tawau,E,76,9,4.1,0.532341691
Shorea smithiana,Ssmi,Ssmi_19,E,77,18,4.89,0.532341691
Parashorea tomentella,Ptom,Pt_m_2,E,78,0,3.58,0.532341691
Parashorea malaanonan,Pmal,Pmal_Tawau,E,79,9,4.02,
Parashorea tomentella,Ptom,Pt_m_5,E,80,21,4.77,0.521066605
Parashorea tomentella,Ptom,Ptom_2_RDC,E,81,3,3.87,0.539894935
Shorea seminis,Ssem,SS,E,82,12,3.67,0.699755718
Dryobalanops lanceolata,Dry,DL_m_3,E,83,12,4.54,0.699755718
Shorea johorensis,Sjoh,SJ_m_10,E,84,6,3.37,0.495648191
Shorea smithiana,Ssmi,9H_Ssmi_4,E,85,6,5.28,0.362670349
Shorea johorensis,Sjoh,SJ_m_6,E,86,6,4.17,0.447983237
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,87,0,4.5,0.396388262
Parashorea malaanonan,Pmal,8L_Pmal_9,E,88,21,4.36,
Parashorea malaanonan,Pmal,Pm_m_6,E,89,15,3.45,0.645412419
Shorea beccariana,Sbec,SHOREABECCARINA_Sbec,E,90,3,4.41,0.496928015
